Ticker,Name,Exchange
AAPL,Apple Inc.,NMS
MSFT,Microsoft Corporation,NMS
AMZN,"Amazon.com, Inc.",NMS
GOOGL,Alphabet Inc. Class A,NMS
NVDA,NVIDIA Corporation,NMS
BRK-B,Berkshire Hathaway Inc. Class B,NYQ
JPM,JPMorgan Chase & Co.,NYQ
KO,The Coca-Cola Company,NYQ
SPY,SPDR S&P 500 ETF Trust,PCX
VOO,Vanguard S&P 500 ETF,PCX
SAN.MC,"Banco Santander, S.A.",MCE
IBE.MC,Iberdrola S.A.,MCE
ITX.MC,"Industria de Diseno Textil, S.A.",MCE
ADS.DE,adidas AG,FRA
SAP.DE,SAP SE,FRA
MC.PA,LVMH Moet Hennessy Louis Vuitton SE,PAR
OR.PA,L'Oreal S.A.,PAR
ASML.AS,ASML Holding N.V.,AMS
AD.AS,Koninklijke Ahold Delhaize N.V.,AMS
ENEL.MI,Enel SpA,MIL
NOKIA.HE,Nokia Oyj,HEL
VOD.L,Vodafone Group plc,LSE
BAR,Unsupported Exchange Row,EUX
QQQ,No Mapping Row,ZZZ
XYZ.NX,Ambiguous Euronext Row,ENX
FOO.XX,Suffix Mismatch Row,MCE
.MC,Empty Ticker Row,MCE
